scenario,cluster_count,cluster_size,sample_size,epsilon,replicate,method,effect,truth,estimate,error,fit_success,iterations,gradient_norm,coefficient_norm
complex,200,8,1600,0.5,0,design_ht,direct_low,0.09860674353,0.1302613027,0.03165455915,True,0,0,0
complex,200,8,1600,0.5,0,design_ht,direct_high,0.1616022877,0.2672361547,0.1056338671,True,0,0,0
complex,200,8,1600,0.5,0,design_ht,spillover_control,0.110137319,0.04276130268,-0.06737601636,True,0,0,0
complex,200,8,1600,0.5,0,design_ht,spillover_treated,0.1731328632,0.1797361547,0.006603291559,True,0,0,0
complex,200,8,1600,0.5,0,doi_nonprivate_generic,direct_low,0.09860674353,0.101290001,0.002683257478,True,80,0.01178189874,4.563001901
complex,200,8,1600,0.5,0,doi_nonprivate_generic,direct_high,0.1616022877,0.1566353342,-0.004966953498,True,80,0.01178189874,4.563001901
complex,200,8,1600,0.5,0,doi_nonprivate_generic,spillover_control,0.110137319,0.1181614715,0.008024152473,True,80,0.01178189874,4.563001901
complex,200,8,1600,0.5,0,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1735068047,0.0003739414969,True,80,0.01178189874,4.563001901
complex,200,8,1600,0.5,0,doi_private_generic,direct_low,0.09860674353,-0.08210829628,-0.1807150398,True,36,0.003469978966,5.458816217
complex,200,8,1600,0.5,0,doi_private_generic,direct_high,0.1616022877,0.1672500657,0.005647778055,True,36,0.003469978966,5.458816217
complex,200,8,1600,0.5,0,doi_private_generic,spillover_control,0.110137319,0.1876935354,0.07755621637,True,36,0.003469978966,5.458816217
complex,200,8,1600,0.5,0,doi_private_generic,spillover_treated,0.1731328632,0.4370518974,0.2639190342,True,36,0.003469978966,5.458816217
complex,200,8,1600,0.5,0,doi_private_no_interference,direct_low,0.09860674353,0.2674716329,0.1688648894,True,9,2.488573355e-05,1.40071418
complex,200,8,1600,0.5,0,doi_private_no_interference,direct_high,0.1616022877,0.2674716329,0.1058693453,True,9,2.488573355e-05,1.40071418
complex,200,8,1600,0.5,0,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,9,2.488573355e-05,1.40071418
complex,200,8,1600,0.5,0,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,9,2.488573355e-05,1.40071418
complex,200,8,1600,1,0,design_ht,direct_low,0.09860674353,0.1270376042,0.02843086064,True,0,0,0
complex,200,8,1600,1,0,design_ht,direct_high,0.1616022877,0.2434056991,0.08180341138,True,0,0,0
complex,200,8,1600,1,0,design_ht,spillover_control,0.110137319,0.03953760417,-0.07059971487,True,0,0,0
complex,200,8,1600,1,0,design_ht,spillover_treated,0.1731328632,0.1559056991,-0.01722716413,True,0,0,0
complex,200,8,1600,1,0,doi_nonprivate_generic,direct_low,0.09860674353,0.101290001,0.002683257478,True,80,0.01178189874,4.563001901
complex,200,8,1600,1,0,doi_nonprivate_generic,direct_high,0.1616022877,0.1566353342,-0.004966953498,True,80,0.01178189874,4.563001901
complex,200,8,1600,1,0,doi_nonprivate_generic,spillover_control,0.110137319,0.1181614715,0.008024152473,True,80,0.01178189874,4.563001901
complex,200,8,1600,1,0,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1735068047,0.0003739414969,True,80,0.01178189874,4.563001901
complex,200,8,1600,1,0,doi_private_generic,direct_low,0.09860674353,0.1598703946,0.06126365105,True,79,0.002754088918,2.362454434
complex,200,8,1600,1,0,doi_private_generic,direct_high,0.1616022877,0.1582896166,-0.003312671026,True,79,0.002754088918,2.362454434
complex,200,8,1600,1,0,doi_private_generic,spillover_control,0.110137319,0.130589913,0.02045259393,True,79,0.002754088918,2.362454434
complex,200,8,1600,1,0,doi_private_generic,spillover_treated,0.1731328632,0.129009135,-0.04412372815,True,79,0.002754088918,2.362454434
complex,200,8,1600,1,0,doi_private_no_interference,direct_low,0.09860674353,0.2486996334,0.1500928898,True,11,6.123484028e-05,1.655435088
complex,200,8,1600,1,0,doi_private_no_interference,direct_high,0.1616022877,0.2486996334,0.08709734571,True,11,6.123484028e-05,1.655435088
complex,200,8,1600,1,0,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,11,6.123484028e-05,1.655435088
complex,200,8,1600,1,0,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,11,6.123484028e-05,1.655435088
complex,200,8,1600,2,0,design_ht,direct_low,0.09860674353,0.1313577932,0.03275104964,True,0,0,0
complex,200,8,1600,2,0,design_ht,direct_high,0.1616022877,0.1126627939,-0.04893949382,True,0,0,0
complex,200,8,1600,2,0,design_ht,spillover_control,0.110137319,0.09309661637,-0.01704070267,True,0,0,0
complex,200,8,1600,2,0,design_ht,spillover_treated,0.1731328632,0.07440161706,-0.09873124612,True,0,0,0
complex,200,8,1600,2,0,doi_nonprivate_generic,direct_low,0.09860674353,0.101290001,0.002683257478,True,80,0.01178189874,4.563001901
complex,200,8,1600,2,0,doi_nonprivate_generic,direct_high,0.1616022877,0.1566353342,-0.004966953498,True,80,0.01178189874,4.563001901
complex,200,8,1600,2,0,doi_nonprivate_generic,spillover_control,0.110137319,0.1181614715,0.008024152473,True,80,0.01178189874,4.563001901
complex,200,8,1600,2,0,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1735068047,0.0003739414969,True,80,0.01178189874,4.563001901
complex,200,8,1600,2,0,doi_private_generic,direct_low,0.09860674353,0.1276853841,0.02907864058,True,52,0.005541409931,4.373119205
complex,200,8,1600,2,0,doi_private_generic,direct_high,0.1616022877,0.06055470141,-0.1010475863,True,52,0.005541409931,4.373119205
complex,200,8,1600,2,0,doi_private_generic,spillover_control,0.110137319,0.1525297599,0.0423924409,True,52,0.005541409931,4.373119205
complex,200,8,1600,2,0,doi_private_generic,spillover_treated,0.1731328632,0.08539907723,-0.08773378595,True,52,0.005541409931,4.373119205
complex,200,8,1600,2,0,doi_private_no_interference,direct_low,0.09860674353,0.176855795,0.07824905147,True,10,2.97841939e-05,1.318417293
complex,200,8,1600,2,0,doi_private_no_interference,direct_high,0.1616022877,0.176855795,0.01525350733,True,10,2.97841939e-05,1.318417293
complex,200,8,1600,2,0,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,10,2.97841939e-05,1.318417293
complex,200,8,1600,2,0,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,10,2.97841939e-05,1.318417293
complex,200,8,1600,0.5,1,design_ht,direct_low,0.09860674353,-0.04830783099,-0.1469145745,True,0,0,0
complex,200,8,1600,0.5,1,design_ht,direct_high,0.1616022877,0.4467810419,0.2851787542,True,0,0,0
complex,200,8,1600,0.5,1,design_ht,spillover_control,0.110137319,0.07382650702,-0.03631081202,True,0,0,0
complex,200,8,1600,0.5,1,design_ht,spillover_treated,0.1731328632,0.5689153799,0.3957825168,True,0,0,0
complex,200,8,1600,0.5,1,doi_nonprivate_generic,direct_low,0.09860674353,0.09913911856,0.0005323750309,True,103,0.006125215294,4.491293118
complex,200,8,1600,0.5,1,doi_nonprivate_generic,direct_high,0.1616022877,0.1553397442,-0.006262543503,True,103,0.006125215294,4.491293118
complex,200,8,1600,0.5,1,doi_nonprivate_generic,spillover_control,0.110137319,0.1172133287,0.00707600962,True,103,0.006125215294,4.491293118
complex,200,8,1600,0.5,1,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1734139543,0.0002810910862,True,103,0.006125215294,4.491293118
complex,200,8,1600,0.5,1,doi_private_generic,direct_low,0.09860674353,0.07230834271,-0.02629840082,True,47,0.0004677943999,5.550907418
