scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,fit_success_rate,average_iterations,maximum_gradient_norm,average_coefficient_norm
complex,200,8,1600,0.5,design_ht,direct_high,150,0.0239611253,0.01502605192,0.1849748327,0.01083034824,1,0,0,0
complex,200,8,1600,0.5,design_ht,direct_low,150,-0.01782314671,0.01346301143,0.1653006757,0.009111140635,1,0,0,0
complex,200,8,1600,0.5,design_ht,spillover_control,150,-0.01733530814,0.0142687812,0.1750332321,0.009883595097,1,0,0,0
complex,200,8,1600,0.5,design_ht,spillover_treated,150,0.02444896387,0.01743186834,0.2141830687,0.01081690921,1,0,0,0
complex,200,8,1600,0.5,doi_nonprivate_generic,direct_high,150,-0.003830569855,0.0001432698262,0.004210899623,0.0001456555355,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,0.5,doi_nonprivate_generic,direct_low,150,-0.0004094282727,0.0001162970729,0.001477449788,7.478732071e-05,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,0.5,doi_nonprivate_generic,spillover_control,150,0.004940303896,0.0001355867754,0.005210161693,0.0001335208644,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,0.5,doi_nonprivate_generic,spillover_treated,150,0.001519162314,0.0001496950236,0.002376286083,0.0001205265598,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,0.5,doi_private_generic,direct_high,150,0.00434602044,0.01355983191,0.1655758891,0.009406384598,1,45.96666667,0.006102892244,4.547404631
complex,200,8,1600,0.5,doi_private_generic,direct_low,150,-0.01284723327,0.01124143962,0.1378193606,0.008062991741,1,45.96666667,0.006102892244,4.547404631
complex,200,8,1600,0.5,doi_private_generic,spillover_control,150,-0.009326896833,0.0117355584,0.1435540572,0.006809107844,1,45.96666667,0.006102892244,4.547404631
complex,200,8,1600,0.5,doi_private_generic,spillover_treated,150,0.007866356881,0.01205311241,0.14733713,0.007374799865,1,45.96666667,0.006102892244,4.547404631
complex,200,8,1600,0.5,doi_private_no_interference,direct_high,150,0.0526074866,0.007889225634,0.1097328116,0.005618473869,1,9.766666667,0.0002695757668,1.788490009
complex,200,8,1600,0.5,doi_private_no_interference,direct_low,150,0.1156030307,0.007889225635,0.1504586422,0.006225681524,1,9.766666667,0.0002695757668,1.788490009
complex,200,8,1600,0.5,doi_private_no_interference,spillover_control,150,-0.110137319,1.136912676e-18,0.110137319,0,1,9.766666667,0.0002695757668,1.788490009
complex,200,8,1600,0.5,doi_private_no_interference,spillover_treated,150,-0.1731328632,2.273825352e-18,0.1731328632,8.208382964e-19,1,9.766666667,0.0002695757668,1.788490009
complex,200,8,1600,1,design_ht,direct_high,150,0.001989682437,0.007897695407,0.09642418863,0.005619876606,1,0,0,0
complex,200,8,1600,1,design_ht,direct_low,150,-0.005883042908,0.008744194917,0.1068985078,0.006010265513,1,0,0,0
complex,200,8,1600,1,design_ht,spillover_control,150,0.007306850826,0.009151406814,0.1119458745,0.005679013774,1,0,0,0
complex,200,8,1600,1,design_ht,spillover_treated,150,0.01517957617,0.01035167263,0.1272667724,0.008017940267,1,0,0,0
complex,200,8,1600,1,doi_nonprivate_generic,direct_high,150,-0.003830569855,0.0001432698262,0.004210899623,0.0001456555355,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,1,doi_nonprivate_generic,direct_low,150,-0.0004094282727,0.0001162970729,0.001477449788,7.478732071e-05,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,1,doi_nonprivate_generic,spillover_control,150,0.004940303896,0.0001355867754,0.005210161693,0.0001335208644,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,1,doi_nonprivate_generic,spillover_treated,150,0.001519162314,0.0001496950236,0.002376286083,0.0001205265598,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,1,doi_private_generic,direct_high,150,-0.01096363935,0.006000407143,0.0740603091,0.004304439776,1,64.78,0.00969639192,4.103436017
complex,200,8,1600,1,doi_private_generic,direct_low,150,-0.001136158551,0.007574196076,0.09246182639,0.004655809516,1,64.78,0.00969639192,4.103436017
complex,200,8,1600,1,doi_private_generic,spillover_control,150,0.01260269882,0.00610807568,0.0756161868,0.004391992575,1,64.78,0.00969639192,4.103436017
complex,200,8,1600,1,doi_private_generic,spillover_treated,150,0.002775218023,0.006451873096,0.07880402994,0.004279772054,1,64.78,0.00969639192,4.103436017
complex,200,8,1600,1,doi_private_no_interference,direct_high,150,0.05354529359,0.004529603105,0.07696867418,0.003986588716,1,10.14,0.0006159860057,1.543736535
complex,200,8,1600,1,doi_private_no_interference,direct_low,150,0.1165408377,0.004529603104,0.1289916478,0.004359411202,1,10.14,0.0006159860057,1.543736535
complex,200,8,1600,1,doi_private_no_interference,spillover_control,150,-0.110137319,1.136912676e-18,0.110137319,0,1,10.14,0.0006159860057,1.543736535
complex,200,8,1600,1,doi_private_no_interference,spillover_treated,150,-0.1731328632,2.273825352e-18,0.1731328632,8.208382964e-19,1,10.14,0.0006159860057,1.543736535
complex,200,8,1600,2,design_ht,direct_high,150,0.005146349509,0.005889666835,0.07207650833,0.004721684306,1,0,0,0
complex,200,8,1600,2,design_ht,direct_low,150,-0.004248120651,0.00520879073,0.06372315245,0.003098093337,1,0,0,0
complex,200,8,1600,2,design_ht,spillover_control,150,-0.0003794923126,0.006644406611,0.08110620665,0.004660707201,1,0,0,0
complex,200,8,1600,2,design_ht,spillover_treated,150,0.009014977845,0.008671226315,0.1062290193,0.005932367826,1,0,0,0
complex,200,8,1600,2,doi_nonprivate_generic,direct_high,150,-0.003830569855,0.0001432698262,0.004210899623,0.0001456555355,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,2,doi_nonprivate_generic,direct_low,150,-0.0004094282727,0.0001162970729,0.001477449788,7.478732071e-05,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,2,doi_nonprivate_generic,spillover_control,150,0.004940303896,0.0001355867754,0.005210161693,0.0001335208644,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,2,doi_nonprivate_generic,spillover_treated,150,0.001519162314,0.0001496950236,0.002376286083,0.0001205265598,1,76.26,0.02087983815,4.597945181
complex,200,8,1600,2,doi_private_generic,direct_high,150,-0.0105260431,0.004341398634,0.05402879932,0.00438111678,1,72.43333333,0.01534980077,4.578997432
complex,200,8,1600,2,doi_private_generic,direct_low,150,0.0004269155198,0.004000093676,0.04882923223,0.002961703461,1,72.43333333,0.01534980077,4.578997432
complex,200,8,1600,2,doi_private_generic,spillover_control,150,0.01058074797,0.003719419386,0.04661791751,0.00350003593,1,72.43333333,0.01534980077,4.578997432
complex,200,8,1600,2,doi_private_generic,spillover_treated,150,-0.0003722106432,0.004245691876,0.0518266106,0.002623716413,1,72.43333333,0.01534980077,4.578997432
complex,200,8,1600,2,doi_private_no_interference,direct_high,150,0.05213156171,0.002728246298,0.06186077576,0.002416642412,1,10.02,0.002030921386,1.527031933
complex,200,8,1600,2,doi_private_no_interference,direct_low,150,0.1151271059,0.002728246298,0.1198470123,0.002624272197,1,10.02,0.002030921386,1.527031933
complex,200,8,1600,2,doi_private_no_interference,spillover_control,150,-0.110137319,1.136912676e-18,0.110137319,0,1,10.02,0.002030921386,1.527031933
complex,200,8,1600,2,doi_private_no_interference,spillover_treated,150,-0.1731328632,2.273825352e-18,0.1731328632,8.208382964e-19,1,10.02,0.002030921386,1.527031933
