sample_size,degree,exposure_probability,epsilon,method,replications,truth,bias,mse,mcse_mse
100000,0,1,0.5,nonprivate,2000,0.6,4.6115e-05,2.35376245e-06,7.078604046e-08
100000,0,1,0.5,one_bit,2000,0.6,-0.0002220175459,4.17946646e-05,1.367033758e-06
100000,0,1,1,nonprivate,2000,0.6,5.59e-05,2.402245e-06,7.822947367e-08
100000,0,1,1,one_bit,2000,0.6,-8.122556242e-05,1.1510787e-05,3.797695145e-07
100000,0,1,2,nonprivate,2000,0.6,-5.8905e-05,2.48424585e-06,8.077852921e-08
100000,0,1,2,one_bit,2000,0.6,-2.051695836e-05,4.312080266e-06,1.399342487e-07
100000,2,0.25,0.5,nonprivate,2000,0.6,2.388e-05,2.0593352e-05,6.537141753e-07
100000,2,0.25,0.5,one_bit,2000,0.6,0.0001322066655,0.0001784549713,5.75580853e-06
100000,2,0.25,1,nonprivate,2000,0.6,-9.72e-06,2.07013616e-05,6.612238207e-07
100000,2,0.25,1,one_bit,2000,0.6,8.30714423e-05,5.987041051e-05,1.869491808e-06
100000,2,0.25,2,nonprivate,2000,0.6,3.76e-05,2.0307384e-05,6.22171623e-07
100000,2,0.25,2,one_bit,2000,0.6,8.777706184e-05,2.75756916e-05,8.804930844e-07
100000,4,0.0625,0.5,nonprivate,2000,0.6,-6.976e-05,9.33868544e-05,3.024178143e-06
100000,4,0.0625,0.5,one_bit,2000,0.6,0.0001167118077,0.0007237494187,2.393828557e-05
100000,4,0.0625,1,nonprivate,2000,0.6,-0.00033136,9.38289408e-05,2.995263367e-06
100000,4,0.0625,1,one_bit,2000,0.6,-0.00060893171,0.0002493151208,7.832228589e-06
100000,4,0.0625,2,nonprivate,2000,0.6,0.00026112,8.87618048e-05,2.84200195e-06
100000,4,0.0625,2,one_bit,2000,0.6,2.286582958e-05,0.0001210886548,3.926141343e-06
100000,6,0.015625,0.5,nonprivate,2000,0.6,9.28e-05,0.0003665743872,1.129919641e-05
100000,6,0.015625,0.5,one_bit,2000,0.6,-0.0007692205831,0.00294895143,9.391615077e-05
100000,6,0.015625,1,nonprivate,2000,0.6,0.00061184,0.0003859132416,1.258634111e-05
100000,6,0.015625,1,one_bit,2000,0.6,0.001599948686,0.001017366465,3.343417543e-05
100000,6,0.015625,2,nonprivate,2000,0.6,-0.000408,0.0003846668288,1.231670332e-05
100000,6,0.015625,2,one_bit,2000,0.6,-0.0003928439477,0.0005041185902,1.573858309e-05
100000,8,0.00390625,0.5,nonprivate,2000,0.6,0.00177792,0.00162194391,5.060071748e-05
100000,8,0.00390625,0.5,one_bit,2000,0.6,-0.001083417577,0.01183873873,0.0003660254277
100000,8,0.00390625,1,nonprivate,2000,0.6,-0.0002688,0.001459782451,4.400950727e-05
100000,8,0.00390625,1,one_bit,2000,0.6,0.0005133226728,0.003868896098,0.0001174941502
100000,8,0.00390625,2,nonprivate,2000,0.6,-0.00067328,0.001596893594,4.889850949e-05
100000,8,0.00390625,2,one_bit,2000,0.6,-0.000169825873,0.002025188295,6.442734187e-05
100000,10,0.0009765625,0.5,nonprivate,2000,0.6,0.00045824,0.005746387354,0.0001880936542
100000,10,0.0009765625,0.5,one_bit,2000,0.6,0.003496816086,0.0457035173,0.001389817423
100000,10,0.0009765625,1,nonprivate,2000,0.6,-0.00069376,0.005942900326,0.0001857297304
100000,10,0.0009765625,1,one_bit,2000,0.6,-2.721256148e-06,0.01517852911,0.0004997576687
100000,10,0.0009765625,2,nonprivate,2000,0.6,9.472e-05,0.005933207552,0.0001888228481
100000,10,0.0009765625,2,one_bit,2000,0.6,-0.0007325338684,0.007768686397,0.0002373464837
