scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,projected_rmse,mcse_projected_rmse,outside_parameter_space,empirical_standard_deviation,average_standard_error,standard_error_ratio,coverage,mcse_coverage,coverage_low,coverage_high,average_interval_length,average_projected_interval_length
linear,50,32,1600,0.5,laplace,direct_high,400,-0.01204758736,0.01238555717,0.2476944749,0.008837029443,0.2476944749,0.008837029443,0,0.2477111434,0.2522399372,1.01828256,0.94,0.01187434209,0.9122771511,0.9593520299,1.013790263,1.001373206
linear,50,32,1600,0.5,laplace,direct_low,400,0.006663825934,0.01253215075,0.2504181958,0.01051111277,0.2504181958,0.01051111276,0,0.250643015,0.25082727,1.000735129,0.9575,0.01008634597,0.9329979457,0.973298305,1.008112541,0.9908473371
linear,50,32,1600,0.5,laplace,spillover_control,400,0.02596367458,0.01375073443,0.2758951045,0.01043967922,0.2726740537,0.009136466104,0.005,0.2750146887,0.2740334712,0.9964321269,0.9675,0.008866192813,0.9451958472,0.9809101576,1.101381756,1.069459175
linear,50,32,1600,0.5,laplace,spillover_treated,400,0.007252261292,0.01460000241,0.291724979,0.01174601772,0.2899027702,0.01127674366,0.005,0.2920000482,0.2933241031,1.004534434,0.9525,0.01063528914,0.9270084506,0.969382923,1.178913708,1.143620016
linear,50,32,1600,0.5,naive_bit,direct_high,400,-0.1255976562,0.002979837036,0.1389879971,0.002870512514,0.1389879971,0.002870512514,0,0.05959674071,0.06169032487,1.035129172,0.4625,0.02492958834,0.4142272533,0.5114861688,0.2479426985,0.2479426985
linear,50,32,1600,0.5,naive_bit,direct_low,400,-0.1033515625,0.003032507691,0.1197947851,0.002889074076,0.1197947851,0.002889074076,0,0.06065015383,0.06075676327,1.001757777,0.62,0.0242693222,0.5715045437,0.6662125056,0.2441905739,0.2441905739
linear,50,32,1600,0.5,naive_bit,spillover_control,400,-0.0902890625,0.007095355729,0.1680458268,0.005592245859,0.1680458268,0.005592245859,0,0.1419071146,0.1449921873,1.021740085,0.9025,0.01483187025,0.8694877208,0.9278548822,0.5827454184,0.5827454184
linear,50,32,1600,0.5,naive_bit,spillover_treated,400,-0.1125351563,0.007591203177,0.1888308272,0.006518764869,0.1888308272,0.006518764869,0,0.1518240635,0.154947131,1.020570306,0.8925,0.01548739407,0.8583265694,0.9192062795,0.622755835,0.622755835
linear,50,32,1600,0.5,nonprivate,direct_high,400,0.002482746325,0.002546223923,0.05092134405,0.00178245772,0.05092134405,0.00178245772,0,0.05092447846,0.04979983417,0.9779154481,0.9425,0.01163977556,0.9151991623,0.9613824572,0.2001530271,0.2001530271
linear,50,32,1600,0.5,nonprivate,direct_low,400,-0.004147688356,0.002126002952,0.0426689448,0.001408876073,0.0426689448,0.001408876074,0,0.04252005903,0.04228821433,0.9945474039,0.935,0.01232629304,0.9064647858,0.9552595181,0.1699626967,0.1699626967
