scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,projected_rmse,mcse_projected_rmse,outside_parameter_space,empirical_standard_deviation,average_standard_error,standard_error_ratio,coverage,mcse_coverage,coverage_low,coverage_high,average_interval_length,average_projected_interval_length
linear,50,8,400,0.5,laplace,direct_high,400,0.03073394457,0.02358123514,0.4720363979,0.01682723239,0.4495261628,0.01362496764,0.0525,0.4716247028,0.4952618413,1.050118534,0.96,0.009797958971,0.9360177523,0.9752309369,1.990531865,1.55683265
linear,50,8,400,0.5,laplace,direct_low,400,0.004029641786,0.02519797282,0.5033452432,0.01680798427,0.4774316332,0.01364278958,0.0525,0.5039594564,0.5007489274,0.9936293903,0.965,0.009188987975,0.9421148605,0.9790387058,2.012585289,1.560850887
linear,50,8,400,0.5,laplace,spillover_control,400,-0.03373273705,0.02500082987,0.5005291736,0.01809735561,0.4784495095,0.01489224053,0.0525,0.5000165973,0.5012089195,1.002384565,0.95,0.01089724736,0.9240363649,0.9674025702,2.014434067,1.576873633
linear,50,8,400,0.5,laplace,spillover_treated,400,-0.007028434265,0.02684029306,0.5361805015,0.01930459358,0.5010187673,0.01531369353,0.0875,0.5368058612,0.524934258,0.9778847363,0.945,0.01139901312,0.9181325522,0.9634015059,2.109789772,1.590237331
linear,50,8,400,0.5,naive_bit,direct_high,400,-0.118890625,0.005877713887,0.1670911171,0.005241765864,0.1670911171,0.005241765864,0,0.1175542777,0.1220322014,1.038092392,0.8875,0.01579903082,0.8527764307,0.9148515412,0.49046578,0.49046578
linear,50,8,400,0.5,naive_bit,direct_low,400,-0.114546875,0.005994049921,0.1657000655,0.004962006061,0.1657000655,0.004962006061,0,0.1198809984,0.1190271407,0.9928774561,0.81,0.01961504525,0.7686762284,0.8454261492,0.4783879892,0.4783879892
linear,50,8,400,0.5,naive_bit,spillover_control,400,-0.108546875,0.008394509804,0.1997475262,0.006834173793,0.1997475262,0.006834173793,0,0.1678901961,0.1719314519,1.024070827,0.8975,0.01516523574,0.863896579,0.923541147,0.6910183765,0.6906613097
linear,50,8,400,0.5,naive_bit,spillover_treated,400,-0.112890625,0.008522336962,0.204263932,0.007809483153,0.204263932,0.007809483153,0,0.1704467392,0.1805587093,1.059326275,0.9275,0.01296569994,0.8978175067,0.9490494816,0.7256926222,0.7256926222
linear,50,8,400,0.5,nonprivate,direct_high,400,0.00588592904,0.004481341315,0.08970802492,0.003545459745,0.08970802492,0.003545459745,0,0.08962682631,0.09100808313,1.015411199,0.955,0.01036520622,0.9299952708,0.9713485413,0.3657751805,0.3657751805
linear,50,8,400,0.5,nonprivate,direct_low,400,-0.008892600466,0.004144694945,0.08326642974,0.00304431804,0.08326642974,0.00304431804,0,0.0828938989,0.0774648199,0.9345056866,0.92,0.01356465997,0.8892454232,0.9427642496,0.3113427676,0.3113427676
linear,50,8,400,0.5,nonprivate,spillover_control,400,-0.003009461889,0.006247450246,0.1248290033,0.004926089276,0.1248290033,0.004926089276,0,0.1249490049,0.1241448867,0.993564429,0.945,0.01139901312,0.9181325522,0.9634015059,0.4989569804,0.4989569804
linear,50,8,400,0.5,nonprivate,spillover_treated,400,0.01176906762,0.008213140261,0.1644789484,0.005932442346,0.1644789484,0.005932442346,0,0.1642628052,0.1701253015,1.035689737,0.95,0.01089724736,0.9240363649,0.9674025702,0.6837591862,0.6837591862
linear,50,8,400,0.5,one_bit,direct_high,400,0.01471355744,0.01807926903,0.3614327272,0.01390084033,0.353820221,0.01275315047,0.02,0.3615853806,0.3628563577,1.003515012,0.9525,0.01063528914,0.9270084506,0.969382923,1.458374302,1.325912805
linear,50,8,400,0.5,one_bit,direct_low,400,-0.03024641736,0.01725284812,0.3459501298,0.01310392405,0.3427612231,0.01223122022,0.01,0.3450569624,0.3592543866,1.041145161,0.9575,0.01008634597,0.9329979457,0.973298305,1.443897438,1.335843917
linear,50,8,400,0.5,one_bit,spillover_control,400,-0.02145245934,0.01848161969,0.3697928397,0.01333825257,0.3627020215,0.01144542146,0.0075,0.3696323938,0.3723909844,1.007463065,0.9475,0.01115165346,0.9210780249,0.9654084716,1.496695401,1.365685018
